Date,Sales,Member,Margin,Quantity,COGS
2018-05-01,1842633865.5299995,18295,76273242.59,89801.0,1766360626.22
2018-05-02,1735156086.8899999,15927,71270127.96999998,82249.0,1663885961.9399998
2018-05-03,1614953145.75,14420,63691143.20999999,75508.0,1551262005.3800004
2018-05-04,2024221603.8999996,16053,81199681.84000002,85452.0,1943021924.0799997
2018-05-05,2354282826.0399995,18356,94021382.58000001,95683.0,2260261448.01
2018-05-06,2809060769.560001,23143,110929332.34999998,121479.0,2698131443.5399995
2018-05-07,2194479476.85,17203,86608578.07,94167.0,2107870902.3399992
2018-05-08,2096514683.0700002,15907,81767621.64999998,85043.0,2014747066.8400004
2018-05-09,2225116928.3600006,15399,87399418.61999999,82547.0,2137717515.9300005
2018-05-10,2927710020.860001,20445,111807646.04,109529.0,2815902381.1200004
2018-05-11,2801696706.540001,17173,108344880.54000002,92006.0,2693351829.8599997
2018-05-12,2922903815.740002,19131,113673513.82000004,99881.0,2809230307.0599995
2018-05-13,3480744590.5000014,24711,133394731.46999997,127818.0,3347349865.2899985
2018-05-14,2641707350.4800024,18810,103560664.77000003,99289.0,2538146689.6099987
2018-05-15,2866816808.360003,18933,112639768.56000006,102128.0,2754177044.359999
2018-05-16,2665442576.740002,17679,104941343.66000003,94611.0,2560501236.250001
2018-05-17,2561801207.7000012,15097,102497637.81000005,80794.0,2459303571.890001
2018-05-18,2404811622.04,13879,91393854.16999999,72381.0,2313417769.8400006
2018-05-19,2616459145.5700016,15709,101928003.62999994,81552.0,2514531144.9900002
2018-05-20,2792772960.0600004,18789,105249916.66999996,98568.0,2687523048.359999
2018-05-21,1921137924.1400003,11286,71707010.59999998,61727.0,1849430915.3699992
2018-05-22,1858838436.6000004,11477,68836073.08000003,61333.0,1790002364.21
2018-05-23,1820148160.64,11098,64545511.730000004,61526.0,1755602650.92
2018-05-24,1853335723.2300007,11011,69721566.76999998,56004.0,1783614157.4699993
2018-05-25,1968572600.2900004,11590,70762901.14,62136.0,1897809699.9399989
2018-05-26,2857628506.1,14560,107514751.91999996,84992.0,2750113757.480001
